Sentence,Validity,
Machine Learning”.,0,
Now that’s a word that packs a punch!,0,
Machine learning is hot stuff these days!,0,
And why won’t it be?,0,
Almost every “enticing” new development in the field of Computer Science and Software Development in general has something related to machine learning behind the veils.,0,
Microsoft’s Cortana – Machine Learning.,0,
Object and Face Recognition – Machine Learning and Computer Vision.,0,
Advanced UX improvement programs – Machine Learning (yes!.,0,
The Amazon product recommendation you just got was the number crunching effort of some Machine Learning Algorithm).And not even just that.,0,
Machine Learning and Data Science in general is EVERYWHERE.,0,
"It is as omnipotent as God himself, had he been into Computers!",0,
Why?,0,
"Because Data is everywhere!So it is natural, that anyone who has above average brains and can differentiate between Programming Paradigms by taking a sneak-peek at Code, is intrigued by Machine Learning.But what is Machine Learning?",0,
And how big is Machine Learning?,0,
"Let’s demystify Machine Learning, once and for all.",0,
"And to do that, rather than presenting technical specifications, we’ll follow a “Understand by Example” approach.Well, Machine Learning is a subfield of Artificial Intelligence which evolved from Pattern Recognition and Computational Learning theory.",0,
"Arthur Lee Samuel defines Machine Learning as: Field of study that gives computers the ability to learn without being explicitly programmed.So, basically, the field of Computer Science and Artificial intelligence that “learns” from data without human intervention.But this view has a flaw.",0,
"As a result of this perception, whenever the word Machine Learning is thrown around, people usually think of “A.I.” and “Neural Networks that can mimic Human brains ( as of now, that is not possible)”, Self Driving Cars and what not.",1,
But Machine Learning is far beyond that.,0,
Below we uncover some expected and some generally not expected facets of Modern Computing where Machine Learning is in action.We’ll start with some places where you might expect Machine Learning to play a part.,0,
You talk to Cortana on Windows Devices.,0,
But how does it understand what you say?,0,
"Along comes the field of Natural Language Processing, or N.L.P.",0,
"It deals with the study of interactions between Machines and Humans, via Linguistics.",0.5,
Guess what is at the heart of NLP: Machine Learning Algorithms and Systems ( Hidden Markov Models being one).,0,
Computer Vision is a subfield of AI which deals with a Machine’s (probable) interpretation of the Real World.,1,
"In other words, all Facial Recognition, Pattern Recognition, Character Recognition Techniques belong to Computer Vision.",1,
"And Machine Learning once again, with it wide range of Algorithms, is at the heart of Computer Vision.",1,
: Well.,0,
You can imagine what drives it actually.,0,
More Machine Learning goodness.But these were expected applications.,0,
Even a naysayer would have a good insight about these feats of technology being brought to life by some “mystical (and extremely hard) mind crunching Computer wizardry”.Let’s visit some places normal folks would not really associate easily with Machine Learning: Ever wondered how Amazon always has a recommendation that just tempts you to lighten your wallet.,0,
"Well, that’s a Machine Learning Algorithm(s) called “Recommender Systems” working in the backdrop.",0,
It learns every user’s personal preferences and makes recommendations according to that.,0,
They work just as above!,0,
This might not be so much of a shock to many.,0,
But Data Mining and Big Data are just manifestations of studying and learning from data at a larger scale.,1,
"And wherever there’s the objective of extracting information from data, you’ll find Machine Learning lurking nearby.",0,
"All of these fields, incorporate a lot of Machine Learning systems in order to better assess the market, namely “Rexampleression Techniques”, for things as mediocre as predicting the price of a House, to predicting and analyzing stock market trends.So as you might have seen now.",1,
Machine Learning actually is everywhere.,0,
From Research and Development to improving business of Small Companies.,0,
It is everywhere.,0,
"And hence it makes up for quite a career option, as the industry is on the rise and is the boon is not stopping any time soon.So, this is it for now.",0,
This wraps up our Machine Learning 101.,0,
"We’ll hopefully meet again, and when we do, we’ll dive into some technical details of Machine Learning, what tools are used in the industry, and how to start your journey to Machine Learning prowess.",0,
"Till then, Code Away!This blog is contributed by .",0,
"If you also wish to showcase your blog here, please see GBlog for guest blog writing on GeeksforGeeks.Attention reader!",0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
"What is Gradient Descent?Before explaining Stochastic Gradient Descent (SGD), let’s first describe what Gradient Descent is.",0,
"Gradient Descent is a popular optimization technique in Machine Learning and Deep Learning, and it can be used with most, if not all, of the learning algorithms.",1,
A gradient is the slope of a function.,1,
It measures the dexampleree of change of a variable in response to the changes of another variable.,0.5,
"Mathematically, Gradient Descent is a convex function whose output is the partial derivative of a set of parameters of its inputs.",1,
"The greater the gradient, the steeper the slope.Starting from an initial value, Gradient Descent is run iteratively to find the optimal values of the parameters to find the minimum possible value of the given cost function.Types of Gradient Descent:Typically, there are three types of Gradient Descent:Batch Gradient DescentStochastic Gradient DescentMini-batch Gradient DescentIn this article, we will be discussing Stochastic Gradient Descent or SGD.Stochastic Gradient Descent (SGD):The word ‘stochastic‘ means a system or a process that is linked with a random probability.",1,
"Hence, in Stochastic Gradient Descent, a few samples are selected randomly instead of the whole data set for each iteration.",0,
"In Gradient Descent, there is a term called “batch” which denotes the total number of samples from a dataset that is used for calculating the gradient for each iteration.",1,
"In typical Gradient Descent optimization, like Batch Gradient Descent, the batch is taken to be the whole dataset.",1,
"Although, using the whole dataset is really useful for getting to the minima in a less noisy and less random manner, but the problem arises when our datasets gets big.Suppose, you have a million samples in your dataset, so if you use a typical Gradient Descent optimization technique, you will have to use all of the one million samples for completing one iteration while performing the Gradient Descent, and it has to be done for every iteration until the minima is reached.",1,
"Hence, it becomes computationally very expensive to perform.This problem is solved by Stochastic Gradient Descent.",1,
"In SGD, it uses only a single sample, i.e., a batch size of one, to perform each iteration.",1,
"The sample is randomly shuffled and selected for performing the iteration.SGD algorithm:So, in SGD, we find out the gradient of the cost function of a single example at each iteration instead of the sum of the gradient of the cost function of all the examples.In SGD, since only one sample from the dataset is chosen at random for each iteration, the path taken by the algorithm to reach the minima is usually noisier than your typical Gradient Descent algorithm.",0,
"But that doesn’t matter all that much because the path taken by the algorithm does not matter, as long as we reach the minima and with significantly shorter training time.Path taken by Batch Gradient Descent –Path taken by Stochastic Gradient Descent –One thing to be noted is that, as SGD is generally noisier than typical Gradient Descent, it usually took a higher number of iterations to reach the minima, because of its randomness in its descent.",0,
"Even though it requires a higher number of iterations to reach the minima than typical Gradient Descent, it is still computationally much less expensive than typical Gradient Descent.",1,
"Hence, in most scenarios, SGD is preferred over Batch Gradient Descent for optimizing a learning algorithm.Pseudo code for SGD in Python:This cycle of taking the values and adjusting them based on different parameters in order to reduce the loss function is called back-propagation.Attention reader!",1,
Don’t stop learning now.,0,
"Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
"In machine learning, we usually deal with datasets which contains multiple labels in one or more than one columns.",1,
These labels can be in the form of words or numbers.,1,
"To make the data understandable or in human readable form, the training data is often labeled in words.",1,
Label Encoding refers to converting the labels into numeric form so as to convert it into the machine-readable form.,1,
Machine learning algorithms can then decide in a better way on how those labels must be operated.,1,
"It is an important pre-processing step for the structured dataset in supervised learning.Suppose we have a column Height in some dataset.After applying label encoding, the Height column is converted into:where 0 is the label for tall, 1 is the label for medium and 2 is label for short height.We apply Label Encoding on  on the target column which is Species.",0.5,
"It contains three species Iris-setosa, Iris-versicolor, Iris-virginica.",0,
"After applying Label Encoding – Label encoding convert the data in machine readable form, but it assigns a unique number(starting from 0) to each class of data.",0,
This may lead to the generation of priority issue in training of data sets.,0,
"A label with high value may be considered to have high priority than a label having lower value.An attribute having output classes mexico, paris, dubai.",0,
"On Label Encoding this column, let mexico is replaced with 0 , paris is replaced with 1 and dubai is replaced with 2.With this, it can be interpreted that dubai have high priority than mexico and paris while training the model, But actually there is no such priority relation between these cities here.Attention reader!",0,
Don’t stop learning now.,0,
"Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
Suppose we are given a datasetGiven is a Work vs Experience dataset of a company and the task is to predict the salary of a employee based on his / her work experience.This article aims to explain how in reality Linear rexampleression mathematically works when we use a pre-defined function to perform prediction task.Let us explore .,0,
"– In the start, θ0 and θ1 values are randomly choosen.",0,
"Let us suppose, θ0 = 0 and θ1 = 0.Here, j = 0Here, j = 1 – θ0 = 0.005 and θ1 = 0.02657Now, similar to iteration no.",0,
1 performed above we will again calculate Cost function and update θj values using Gradient Descent.We will keep on iterating until Cost function doesn’t reduce further.,0,
"At that point, model achieves best θ values.",0,
Using these θ values in the model hypothesis will give the best prediction results.Attention reader!,0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
"The term Machine Learning was coined by Arthur Samuel in 1959, an American pioneer in the field of computer gaming and artificial intelligence and stated that “it gives computers the ability to learn without being explicitly programmed”.And in 1997, Tom Mitchell gave a “well-posed” mathematical and relational definition that “A computer program is said to learn from experience E with respect to some task T and some performance measure P, if its performance on T, as measured by P, improves with experience E.Machine Learning is a latest buzzword floating around.",1,
"It deserves to, as it is one of the most interesting subfield of Computer Science.",0,
So what does Machine Learning really mean?Let’s try to understand Machine Learning in layman terms.,0,
"Consider you are trying to toss a paper to a dustbin.After first attempt, you realize that you have put too much force in it.",0,
"After second attempt, you realize you are closer to target but you need to increase your throw angle.",0,
What is happening here is basically after every throw we are learning something and improving the end result.,0,
